Date,Day,Activity,Time,Activity,No of matches,Location,Fixtures/ Schedule,Fixtures/ Schedule,Fixtures/ Schedule
30-03-2026,Monday,Opening ceremony,6 - 9 PM ,Opening Ceremony + Men's Cricket Qualifiers + Women's Cricket Qualifiers,3,Turf,"Cricket Men - Red vs Pink
Blue vs Teal
","Womens Cricket - Green + Teal vs Yellow + Purple
",
31-03-2026,Tuesday,,,,,,,,
01-04-2026,Wednesday,Outdoor,7 - 9:30 PM ,Women's Cricket Qualifiers + Football Qualifiers,5,Turf,,"Womens Cricket - Green + Teal vs Blue + Red
","F - Red vs Yellow
Green vs Purple
Blue vs Pink
Teal vs Brown"
02-04-2026,Thursday,Maundy Thursday ,,,,,,,
03-04-2026,Friday,Floater,,,,,,,
04-04-2026,Saturday,Week-off,,,,,,,
05-04-2026,Sunday,Week-off,,,,,,,
06-04-2026,Monday,Indoor,5:30 - 7:30 PM ,Carrom Qualifiers,6,Training room,"Teal vs Pink
Purple vs Yellow
Purple vs Pink","Red vs Brown
Blue vs Green
Blue vs Brown",
07-04-2026,Tuesday,outdoor,7 - 9:30 PM ,Men's Cricket Qualifiers + Women's Cricket Qualifiers ,5,Turf,"Cricket Men - Red vs Teal
Blue vs Pink
Purple vs Brown","CW - Green + Teal vs Brown + Pink
WC - Blue + Red vs Brown + Pink",
08-04-2026,Wednesday,Indoor,5:30 - 7:30 PM ,Chess Qualifiers ,6,Office,"Pink vs Red
Yellow vs Brown
Brown vs Red","Green vs Teal
Yellow vs Red
Teal vs Purple",
09-04-2026,Thursday,Outdoor,6:45 - 10 PM ,Men's Cricket Qualifiers + Football Qualifiers,5,Turf,"MC - Yellow vs Green
",,"F - Red vs Green
Yellow vs Purple
Blue vs Teal
Pink vs Brown"
10-04-2026,Friday,Indoor,5:30 - 7:30 PM ,Table Tennis Qualifiers ,6,Office,"Yellow vs Teal
Pink vs Brown
Green vs Red
Blue vs Purple
Yellow vs Brown
Blue vs Red
Pink vs Teal
Purple vs Red",,
11-04-2026,Saturday,Week-off,,,,,,,
12-04-2026,Sunday,Week-off,,,,,,,
13-04-2026,Monday,Outdoor,7 - 9:30 PM ,Men's Cricket Qualifiers + Women cricket ,5,Turf,"Cricket Men - Brown vs Green
Pink vs Teal
Red vs Blue
Yellow vs Purple ",WC - Yellow + Purple vs Brown + Pink,
14-04-2026,Tuesday,Indoor,5:30 - 8:30 PM ,Table Tennis Qualifiers ,6,Office,"Green vs Blue
Pink vs Yellow","Teal vs Brown
Green vs Purple
",
15-04-2026,Wednesday,Outdoor,7 - 9:30 PM ,Men's Pickleball Qualifiers + Women's Pickleball Qualifiers,8,Court,"MP - Brown vs Teal
Blue vs Yellow
Red vs Pink
Green vs Purple","WP - Blue vs Teal
Red vs Purple
Yellow vs Brown
Pink vs Green",
16-04-2026,Thursday,Indoor,5:30 - 8:30 PM ,Chess Qualifiers ,6,Training room,"Pink vs Yellow
Blue vs Green
Blue vs Purple","Pink vs Brown
Blue vs Teal
Green vs Purple",
17-04-2026,Friday,Outdoor,7 - 9:30 PM ,Men's Pickleball Qualifiers + Women's Pickleball Qualifiers,8,Court,"MP - Blue vs Teal
Red vs Purple
Yellow vs Brown
Pink vs Green","WP - Blue vs Brown
Yellow vs Teal
Red vs Green
Pink vs Purple",
